event_definition;coding_system;code;code_name;algo_name;comments;Finland;SAIL;EFEMERIS;Norway;SNDS;ARS;ER;event_abbreviation
Neuropathic pain;speciality_prescriber_ Finish;570;Rheumatologist ;algo_M1;;1;0;0;0;0;0;0;Neuropathic_pain
Neuropathic pain;speciality_prescriber_ Finish;742;Rheumatologist ;algo_M1;;1;0;0;0;0;0;0;Neuropathic_pain
Neuropathic pain;speciality_prescriber_ Finish;100;Anesthesiologist ;algo_M1;;1;0;0;0;0;0;0;Neuropathic_pain
Neuropathic pain;speciality_prescriber_ Finish;202;Orthopedist ;algo_M1;;1;0;0;0;0;0;0;Neuropathic_pain
Neuropathic pain;speciality_prescriber_ Finish;230;Orthopedist ;algo_M1;;1;0;0;0;0;0;0;Neuropathic_pain
Neuropathic pain;speciality_prescriber_ Fr;14;Rheumatologist;algo_M1;;0;0;1;0;1;0;0;Neuropathic_pain
Neuropathic pain;speciality_prescriber_ Fr;2;Anesthesiologis;algo_M1;;0;0;1;0;1;0;0;Neuropathic_pain
Neuropathic pain;speciality_prescriber_ Fr;41;Orthopedist ;algo_M1;;0;0;1;0;1;0;0;Neuropathic_pain
Neuropathic pain;speciality_prescriber_ Nr;41;Rheumatologist ;algo_M1;;0;0;0;1;0;0;0;Neuropathic_pain
Neuropathic pain;speciality_prescriber_ Nr;2;Anesthesiologist ;algo_M1;;0;0;0;1;0;0;0;Neuropathic_pain
Neuropathic pain;speciality_prescriber_ Nr;84;Orthopedic surgeon ;algo_M1;;0;0;0;1;0;0;0;Neuropathic_pain
Neuropathic pain;speciality_prescriber_ Nr;152;Orthopedic surgeon ;algo_M1;;0;0;0;1;0;0;0;Neuropathic_pain
Neuropathic pain;speciality_prescriber_ Nr;192;Endocrinologist ;algo_M1;;0;0;0;1;0;0;0;Neuropathic_pain
Neuropathic pain;ICD10;R52;pain unspecified;algo_M1;;1;1;1;1;1;1;1;Neuropathic_pain
Neuropathic pain;ICD10;G50 ;;algo_M1;;0;0;0;1;0;0;0;Neuropathic_pain
Neuropathic pain;ICD10;G51;;algo_M1;;0;0;0;1;0;0;0;Neuropathic_pain
Neuropathic pain;ICD10;G52;;algo_M1;;0;0;0;1;0;0;0;Neuropathic_pain
Neuropathic pain;ICD10;G53;;algo_M1;;0;0;0;1;0;0;0;Neuropathic_pain
Neuropathic pain;ICD10;G54;;algo_M1;;0;0;0;1;0;0;0;Neuropathic_pain
Neuropathic pain;ICD10;G55;;algo_M1;;0;0;0;1;0;0;0;Neuropathic_pain
Neuropathic pain;ICD10;G56;;algo_M1;;0;0;0;1;0;0;0;Neuropathic_pain
Neuropathic pain;ICD10;G57;;algo_M1;;0;0;0;1;0;0;0;Neuropathic_pain
Neuropathic pain;ICD10;G58;;algo_M1;;0;0;0;1;0;0;0;Neuropathic_pain
Neuropathic pain;ICD10;G59;;algo_M1;;0;0;0;1;0;0;0;Neuropathic_pain
Neuropathic pain;ICD10;G60;;algo_M1;;0;0;0;1;0;0;0;Neuropathic_pain
Neuropathic pain;ICD10;G61;;algo_M1;;0;0;0;1;0;0;0;Neuropathic_pain
Neuropathic pain;ICD10;G62;;algo_M1;;0;0;0;1;0;0;0;Neuropathic_pain
Neuropathic pain;ICD10;G63;;algo_M1;;0;0;0;1;0;0;0;Neuropathic_pain
Neuropathic pain;ICD10;G64;;algo_M1;;0;0;0;1;0;0;0;Neuropathic_pain
Neuropathic pain;ICD10;G95.85;;algo_M1;;0;0;0;1;0;0;0;Neuropathic_pain
Neuropathic pain;ICD10;E10.4;;algo_M1;;0;0;0;1;0;0;0;Neuropathic_pain
Neuropathic pain;ICD10;E11.4;;algo_M1;;0;0;0;1;0;0;0;Neuropathic_pain
Neuropathic pain;ICPC2 ;A01;pain general/multiple sites;algo_M1;;0;0;0;0;0;0;0;Neuropathic_pain
Neuropathic pain;ICPC2 ;L86;back syndrome with radiating pain;algo_M1;;0;0;0;0;0;0;0;Neuropathic_pain
Neuropathic pain;ICD9;250.6;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;357.2;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;053.1;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;722.1;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;722.2;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;722.7;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;724.0;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;724.3;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;724.4;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;721.1;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;722.0;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;723.0;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;723.4;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;140;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;141;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;142;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;143;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;144;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;145;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;146;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;147;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;148;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;149;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;150;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;151;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;152;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;153;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;154;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;155;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;156;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;157;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;158;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;159;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;160;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;161;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;162;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;163;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;164;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;165;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;166;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;167;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;168;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;169;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;170;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;171;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;172;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;174;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;175;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;176;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;177;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;178;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;179;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;180;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;181;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;182;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;183;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;184;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;185;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;186;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;187;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;188;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;189;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;190;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;191;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;192;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;193;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;194;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;195;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;196;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;197;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;198;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;199;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;200;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;201;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;202;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;203;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;204;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;205;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;206;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;207;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;208;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;337.2;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.0;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.1;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.2;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.3;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.4;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.8;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.9;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;354.4;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;355.7;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;355.9;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;729.2;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.0;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.1;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.8;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.9;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;354.0;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;354.1;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;354.2;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;354.3;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;354.5;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;354.8;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;354.9;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;355.0;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;355.1;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;355.2;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;355.3;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;355.4;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;355.5;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;355.6;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;355.8;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;357.3;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;357.4;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;357.8;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;357.9;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;337.2;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.2;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.3;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.4;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;354.4;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;355.7;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;355.9;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;729.2;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;042.0;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;353.6;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;350.1;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;350.2;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ICD9;352.1;;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ATC;N02AX02;tramadol;algo_M1;;1;0;0;1;0;1;1;Neuropathic_pain
Neuropathic pain;ATC;N01BB02;lidocaine plaster;algo_M1;;0;1;1;1;1;1;1;Neuropathic_pain
Neuropathic pain;ATC;N01BX04 ;capsaicin;algo_M1;;1;1;1;1;1;1;1;Neuropathic_pain
Neuropathic pain;ATC;N02A;strong opioids;algo_M1;;0;0;1;1;1;0;0;Neuropathic_pain
Neuropathic pain;ATC;N02AA01;morphine;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
Neuropathic pain;ATC;N02AA05 ;oxycodone;algo_M1;;0;0;0;0;0;1;1;Neuropathic_pain
